county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Pickaway County OH,39129,04/03,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/04,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/05,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/06,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/07,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/08,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/09,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/10,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/11,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/12,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/13,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/14,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/15,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/16,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/17,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/18,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/19,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/20,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/21,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/22,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/23,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/24,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/25,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/26,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/27,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/28,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/29,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,04/30,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,05/01,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,05/02,0.00,0.00,0.00,0.00,0.00,0.00
Pickaway County OH,39129,05/03,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/23,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/24,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/25,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/26,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/27,0.00,0.00,0.00,0.00,0.00,0.00
